y,x,street_count,highway,ref,junction,railway,geometry
41.3700925,2.187743,3,,,,,POINT (2.187743 41.3700925)
41.3749826,2.1888306,3,,,,,POINT (2.1888306 41.3749826)
41.3763469,2.1886934,3,,,,,POINT (2.1886934 41.3763469)
41.3780115,2.1880402,3,,,,,POINT (2.1880402 41.3780115)
41.3767732,2.1906313,1,,,,,POINT (2.1906313 41.3767732)
41.3782089,2.1889331,4,,,,,POINT (2.1889331 41.3782089)
41.3784394,2.1899711,3,,,,,POINT (2.1899711 41.3784394)
41.3785912,2.1906605,4,,,,,POINT (2.1906605 41.3785912)
41.3791109,2.1891407,4,,,,,POINT (2.1891407 41.3791109)
41.3792994,2.1900047,4,,,,,POINT (2.1900047 41.3792994)
41.3805427,2.1878203,4,,,,,POINT (2.1878203 41.3805427)
41.3821491,2.1841315,3,,,,,POINT (2.1841315 41.3821491)
41.3826029,2.1831923,4,,,,,POINT (2.1831923 41.3826029)
41.375966,2.1781634,3,,,,,POINT (2.1781634 41.375966)
41.3754663,2.177604,3,,,,,POINT (2.177604 41.3754663)
41.3755381,2.1774317,3,,,,,POINT (2.1774317 41.3755381)
41.3757129,2.1773686,3,,,,,POINT (2.1773686 41.3757129)
41.324466,2.1194798,3,,,,,POINT (2.1194798 41.324466)
41.3749125,2.148548,3,,,,,POINT (2.148548 41.3749125)
41.3733143,2.1762752,3,,,,,POINT (2.1762752 41.3733143)
41.3736617,2.1768881,3,,,,,POINT (2.1768881 41.3736617)
41.3857494,2.1701343,3,,,,,POINT (2.1701343 41.3857494)
41.3873921,2.1685651,4,,,,,POINT (2.1685651 41.3873921)
41.3888075,2.1723496,5,,,,,POINT (2.1723496 41.3888075)
41.3865594,2.1662922,4,,,,,POINT (2.1662922 41.3865594)
41.389593,2.16837,4,,,,,POINT (2.16837 41.389593)
41.3893033,2.1736889,4,,,,,POINT (2.1736889 41.3893033)
41.3899292,2.1753258,4,,,,,POINT (2.1753258 41.3899292)
41.3892283,2.1762283,3,,,,,POINT (2.1762283 41.3892283)
41.3889575,2.1758863,3,,,,,POINT (2.1758863 41.3889575)
41.3889558,2.1737424,3,,,,,POINT (2.1737424 41.3889558)
41.3838266,2.1608564,4,,,,,POINT (2.1608564 41.3838266)
41.3846778,2.1619691,4,,,,,POINT (2.1619691 41.3846778)
41.3812781,2.1574616,4,,,,,POINT (2.1574616 41.3812781)
41.3804334,2.1563247,4,,,,,POINT (2.1563247 41.3804334)
41.3795841,2.1551756,4,,,,,POINT (2.1551756 41.3795841)
41.3778725,2.1529147,4,traffic_signals,,,,POINT (2.1529147 41.3778725)
41.3782059,2.1733456,3,,,,,POINT (2.1733456 41.3782059)
41.3775175,2.1745094,1,,,,,POINT (2.1745094 41.3775175)
41.3777597,2.1728957,3,,,,,POINT (2.1728957 41.3777597)
41.3770587,2.1739954,1,,,,,POINT (2.1739954 41.3770587)
41.3805733,2.1708255,3,,,,,POINT (2.1708255 41.3805733)
41.3791144,2.1721135,1,,,,,POINT (2.1721135 41.3791144)
41.3797053,2.1726234,1,,,,,POINT (2.1726234 41.3797053)
41.3782126,2.1711198,2,,,,,POINT (2.1711198 41.3782126)
41.3778764,2.1717029,4,,,,,POINT (2.1717029 41.3778764)
41.3774098,2.1725123,3,,,,,POINT (2.1725123 41.3774098)
41.3773903,2.1711983,3,,,,,POINT (2.1711983 41.3773903)
41.3801128,2.1740277,3,,,,,POINT (2.1740277 41.3801128)
41.3794242,2.1746078,3,traffic_signals,,,,POINT (2.1746078 41.3794242)
41.3816095,2.1638237,3,,,,,POINT (2.1638237 41.3816095)
41.3812656,2.1638885,3,,,,,POINT (2.1638885 41.3812656)
41.3807924,2.1639619,4,,,,,POINT (2.1639619 41.3807924)
41.3803796,2.1640259,3,,,,,POINT (2.1640259 41.3803796)
41.380881,2.1652665,1,,,,,POINT (2.1652665 41.380881)
41.381356,2.1649365,1,,,,,POINT (2.1649365 41.381356)
41.3837354,2.1644878,3,,,,,POINT (2.1644878 41.3837354)
41.383326,2.1649366,4,,,,,POINT (2.1649366 41.383326)
41.3823117,2.1660362,4,,,,,POINT (2.1660362 41.3823117)
41.3807467,2.1677141,3,,,,,POINT (2.1677141 41.3807467)
41.3803786,2.1631037,3,,,,,POINT (2.1631037 41.3803786)
41.3803577,2.1636551,3,,,,,POINT (2.1636551 41.3803577)
41.3804058,2.1645765,3,,,,,POINT (2.1645765 41.3804058)
41.3804556,2.1655022,3,,,,,POINT (2.1655022 41.3804556)
41.3805014,2.1661378,3,,,,,POINT (2.1661378 41.3805014)
41.3821042,2.1683799,4,,,,,POINT (2.1683799 41.3821042)
41.3824395,2.168972,4,,,,,POINT (2.168972 41.3824395)
41.3836786,2.1711192,3,,,,,POINT (2.1711192 41.3836786)
41.3831498,2.1682528,1,,,,,POINT (2.1682528 41.3831498)
41.3789074,2.1638551,3,,,,,POINT (2.1638551 41.3789074)
41.3802335,2.169702,3,,,,,POINT (2.169702 41.3802335)
41.3812409,2.1730536,3,,,,,POINT (2.1730536 41.3812409)
41.3816613,2.1758448,3,,,,,POINT (2.1758448 41.3816613)
41.3824097,2.1768061,1,,,,,POINT (2.1768061 41.3824097)
41.3833283,2.177971,3,,,,,POINT (2.177971 41.3833283)
41.3839602,2.178734,4,,,,,POINT (2.178734 41.3839602)
41.3732646,2.1627417,4,,,,,POINT (2.1627417 41.3732646)
41.3729058,2.1625876,3,,,,,POINT (2.1625876 41.3729058)
