osmid,y,x,street_count,highway,ref,junction,railway,geometry
172539,52.5652092,13.3354964,3,,,,,POINT (13.3354964 52.5652092)
172545,52.567033,13.3466053,4,,,,,POINT (13.3466053 52.567033)
172546,52.5676809,13.3520815,3,,,,,POINT (13.3520815 52.5676809)
172547,52.5640785,13.3395649,3,,,,,POINT (13.3395649 52.5640785)
172549,52.5633962,13.3428999,3,,,,,POINT (13.3428999 52.5633962)
172558,52.5587879,13.337379,4,,,,,POINT (13.337379 52.5587879)
172562,52.5626133,13.3306446,5,,,,,POINT (13.3306446 52.5626133)
172564,52.5640457,13.3277078,4,,,,,POINT (13.3277078 52.5640457)
172566,52.5659135,13.3202273,3,,,,,POINT (13.3202273 52.5659135)
172586,52.574667,13.3460039,3,,,,,POINT (13.3460039 52.574667)
172587,52.5736764,13.3521078,4,,,,,POINT (13.3521078 52.5736764)
172589,52.5732494,13.3589742,3,,,,,POINT (13.3589742 52.5732494)
172594,52.5703344,13.3608121,4,,,,,POINT (13.3608121 52.5703344)
458330,52.5115569,13.2862166,3,motorway_junction,7,,,POINT (13.2862166 52.5115569)
458334,52.5142646,13.2864666,3,,,,,POINT (13.2864666 52.5142646)
458350,52.5321687,13.2866424,3,motorway_junction,4,,,POINT (13.2866424 52.5321687)
458356,52.4948346,13.2678955,3,motorway_junction,1,,,POINT (13.2678955 52.4948346)
458362,52.4996552,13.2786268,3,,,,,POINT (13.2786268 52.4996552)
458365,52.5002536,13.2803717,3,,,,,POINT (13.2803717 52.5002536)
484078,52.5396172,13.2953708,4,,,,,POINT (13.2953708 52.5396172)
484082,52.5465246,13.2994775,3,motorway_junction,10,,,POINT (13.2994775 52.5465246)
484102,52.5163525,13.2843518,3,,,,,POINT (13.2843518 52.5163525)
484107,52.5107227,13.2850888,3,,,,,POINT (13.2850888 52.5107227)
484110,52.5081564,13.283215,3,motorway_junction,8,,,POINT (13.283215 52.5081564)
484119,52.5438613,13.2972841,3,,,,,POINT (13.2972841 52.5438613)
484121,52.5396362,13.2948929,4,,,,,POINT (13.2948929 52.5396362)
484243,52.4675231,13.23465,3,motorway_junction,2,,,POINT (13.23465 52.4675231)
484245,52.4712229,13.2393194,3,,,,,POINT (13.2393194 52.4712229)
484282,52.4713022,13.2391237,3,motorway_junction,2,,,POINT (13.2391237 52.4713022)
484285,52.4674241,13.2341675,3,,,,,POINT (13.2341675 52.4674241)
484310,52.4359238,13.1943862,3,motorway_junction,3,,,POINT (13.1943862 52.4359238)
484322,52.4173231,13.196603,3,,,,,POINT (13.196603 52.4173231)
530161,52.5563232,13.3081923,3,,,,,POINT (13.3081923 52.5563232)
530168,52.5604413,13.3218502,4,,,,,POINT (13.3218502 52.5604413)
530176,52.5616042,13.3261467,4,,,,,POINT (13.3261467 52.5616042)
530177,52.5625611,13.326716,4,,,,,POINT (13.326716 52.5625611)
530190,52.5605513,13.3217089,4,,,,,POINT (13.3217089 52.5605513)
530197,52.5564616,13.3077949,4,,,,,POINT (13.3077949 52.5564616)
530199,52.5546658,13.3060827,3,,,,,POINT (13.3060827 52.5546658)
530202,52.5734198,13.3590031,4,,,,,POINT (13.3590031 52.5734198)
530205,52.5737852,13.3521326,3,,,,,POINT (13.3521326 52.5737852)
530215,52.574399,13.3478076,4,,,,,POINT (13.3478076 52.574399)
530225,52.5587248,13.3372853,4,,,,,POINT (13.3372853 52.5587248)
530247,52.5735144,13.3314876,4,,,,,POINT (13.3314876 52.5735144)
530256,52.5692466,13.3299953,4,,,,,POINT (13.3299953 52.5692466)
530262,52.5641459,13.3278399,4,,,,,POINT (13.3278399 52.5641459)
530283,52.5758155,13.3479319,4,,,,,POINT (13.3479319 52.5758155)
530284,52.575514,13.3492602,3,,,,,POINT (13.3492602 52.575514)
530287,52.5747311,13.3542954,3,,,,,POINT (13.3542954 52.5747311)
530293,52.5774346,13.3479569,3,,,,,POINT (13.3479569 52.5774346)
530309,52.5758411,13.3477448,3,,,,,POINT (13.3477448 52.5758411)
530311,52.5744188,13.3476663,4,,,,,POINT (13.3476663 52.5744188)
530312,52.5674533,13.3514095,4,,,,,POINT (13.3514095 52.5674533)
530313,52.5678546,13.3526857,3,,,,,POINT (13.3526857 52.5678546)
530318,52.5659873,13.3202723,4,,,,,POINT (13.3202723 52.5659873)
530319,52.5669065,13.3164546,4,,,,,POINT (13.3164546 52.5669065)
530323,52.5684675,13.3547004,3,,,,,POINT (13.3547004 52.5684675)
530340,52.5674192,13.3511359,4,,,,,POINT (13.3511359 52.5674192)
530351,52.5625444,13.3304733,4,,,,,POINT (13.3304733 52.5625444)
530376,52.5705371,13.3345325,3,,,,,POINT (13.3345325 52.5705371)
530380,52.5733934,13.3346526,3,,,,,POINT (13.3346526 52.5733934)
12614600,52.526513,13.4477389,4,,,,,POINT (13.4477389 52.526513)
12614606,52.5129765,13.4813831,3,,,,,POINT (13.4813831 52.5129765)
12614629,52.5105471,13.5187964,3,,,,,POINT (13.5187964 52.5105471)
12614635,52.5134631,13.5188501,4,,,,,POINT (13.5188501 52.5134631)
12614644,52.5375413,13.4287152,4,,,,,POINT (13.4287152 52.5375413)
12614650,52.5295569,13.4444487,4,,,,,POINT (13.4444487 52.5295569)
12614651,52.5141613,13.4696307,3,,,,,POINT (13.4696307 52.5141613)
12614653,52.5223724,13.4506044,4,,,,,POINT (13.4506044 52.5223724)
12614667,52.5147994,13.4633198,3,,,,,POINT (13.4633198 52.5147994)
12614668,52.5134573,13.5191924,4,,,,,POINT (13.5191924 52.5134573)
12614672,52.5103805,13.5191485,3,,,,,POINT (13.5191485 52.5103805)
12614675,52.5098901,13.5177311,3,,,,,POINT (13.5177311 52.5098901)
12614678,52.5100388,13.5137063,3,,,,,POINT (13.5137063 52.5100388)
12614681,52.5342644,13.4374057,4,,,,,POINT (13.4374057 52.5342644)
12614682,52.5096136,13.5175412,3,,,,,POINT (13.5175412 52.5096136)
12614683,52.5134273,13.4768542,4,,,,,POINT (13.4768542 52.5134273)
12615161,52.5517188,13.4304841,3,,,,,POINT (13.4304841 52.5517188)
12615171,52.5565169,13.4292351,4,,,,,POINT (13.4292351 52.5565169)
12615173,52.5510442,13.4299934,4,,,,,POINT (13.4299934 52.5510442)
12615195,52.5830418,13.4286107,4,,,,,POINT (13.4286107 52.5830418)
12696810,52.6274264,13.4278594,3,motorway_junction,2,,,POINT (13.4278594 52.6274264)
16541457,52.5162188,13.2606308,4,,,,,POINT (13.2606308 52.5162188)
16541459,52.5160816,13.2549406,4,,,,,POINT (13.2549406 52.5160816)
16541461,52.5156307,13.2502624,3,,,,,POINT (13.2502624 52.5156307)
16541462,52.5149222,13.2486159,3,,,,,POINT (13.2486159 52.5149222)
16541464,52.5119682,13.2404671,4,,,,,POINT (13.2404671 52.5119682)
16541465,52.5075329,13.2422722,4,,,,,POINT (13.2422722 52.5075329)
16541466,52.516327,13.2571429,4,,,,,POINT (13.2571429 52.516327)
16541467,52.5100401,13.2711423,3,,,,,POINT (13.2711423 52.5100401)
16541468,52.5097265,13.2715418,3,,,,,POINT (13.2715418 52.5097265)
16541469,52.50884,13.2726912,3,,,,,POINT (13.2726912 52.50884)
16541471,52.506368,13.2802152,4,,,,,POINT (13.2802152 52.506368)
16541474,52.5090363,13.2716159,3,,,,,POINT (13.2716159 52.5090363)
16541478,52.5086784,13.2611617,4,,,,,POINT (13.2611617 52.5086784)
16541483,52.5009116,13.267088,3,,,,,POINT (13.267088 52.5009116)
16541486,52.4990539,13.2712059,3,,,,,POINT (13.2712059 52.4990539)
16541488,52.4998976,13.2735397,3,,,,,POINT (13.2735397 52.4998976)
16541571,52.5344702,13.3010943,3,motorway_junction,3,,,POINT (13.3010943 52.5344702)
16541572,52.534429,13.3015836,3,,,,,POINT (13.3015836 52.534429)
16541579,52.537494,13.3221584,3,,,,,POINT (13.3221584 52.537494)
16541582,52.5374665,13.3230381,3,motorway_junction,2,,,POINT (13.3230381 52.5374665)
16541593,52.5464255,13.3439163,4,,,,,POINT (13.3439163 52.5464255)
16541594,52.5461738,13.34426,4,,,,,POINT (13.34426 52.5461738)
16541595,52.5477079,13.3463516,4,,,,,POINT (13.3463516 52.5477079)
16541596,52.5474624,13.3466944,4,,,,,POINT (13.3466944 52.5474624)
16541696,52.5538898,13.4143846,4,,,,,POINT (13.4143846 52.5538898)
16541698,52.5528431,13.4240817,4,,,,,POINT (13.4240817 52.5528431)
16541699,52.5521876,13.4270855,4,,,,,POINT (13.4270855 52.5521876)
16541700,52.5524326,13.4273298,4,,,,,POINT (13.4273298 52.5524326)
16541701,52.550953,13.430239,4,,,,,POINT (13.430239 52.550953)
16541702,52.5512606,13.4303806,4,,,,,POINT (13.4303806 52.5512606)
16541703,52.5513646,13.4301052,4,,,,,POINT (13.4301052 52.5513646)
16541704,52.5477548,13.43953,4,,,,,POINT (13.43953 52.5477548)
16541705,52.5473603,13.4391511,4,,,,,POINT (13.4391511 52.5473603)
16541707,52.5529925,13.4485533,3,,,,,POINT (13.4485533 52.5529925)
16541708,52.5531291,13.4487952,3,,,,,POINT (13.4487952 52.5531291)
16541709,52.5530546,13.4493277,3,,,,,POINT (13.4493277 52.5530546)
16541711,52.5548556,13.458093,4,,,,,POINT (13.458093 52.5548556)
16541712,52.5570033,13.4600378,4,,,,,POINT (13.4600378 52.5570033)
16541713,52.5592911,13.4550288,4,,,,,POINT (13.4550288 52.5592911)
17777144,52.5115929,13.3052216,4,,,,,POINT (13.3052216 52.5115929)
17777145,52.5118617,13.3093302,4,,,,,POINT (13.3093302 52.5118617)
18244390,52.4268055,13.217822,1,,,,,POINT (13.217822 52.4268055)
