osmid,y,x,street_count,highway,ref,junction,railway,geometry
277285,47.5135409,19.0580139,3,,,,,POINT (19.0580139 47.5135409)
277286,47.5146238,19.0588174,3,,,,,POINT (19.0588174 47.5146238)
277309,47.5145238,19.0385313,3,traffic_signals,,,,POINT (19.0385313 47.5145238)
277465,47.482045,19.052508,3,,,,,POINT (19.052508 47.482045)
277472,47.4778528,19.0473839,3,,,,,POINT (19.0473839 47.4778528)
277474,47.4764226,19.0432917,5,,,,,POINT (19.0432917 47.4764226)
9515749,47.4400832,19.2207169,3,,,,,POINT (19.2207169 47.4400832)
9515778,47.4390172,19.2225212,2,,,,,POINT (19.2225212 47.4390172)
9516071,47.4530103,19.1957235,4,traffic_signals,,,,POINT (19.1957235 47.4530103)
9516177,47.4534847,19.1965633,3,,,,,POINT (19.1965633 47.4534847)
9516215,47.45411,19.1919992,3,,,,,POINT (19.1919992 47.45411)
9516793,47.4562272,19.2238871,4,,,,,POINT (19.2238871 47.4562272)
9516794,47.4590859,19.2272337,3,,,,,POINT (19.2272337 47.4590859)
9518910,47.4697487,19.2377977,3,,,,,POINT (19.2377977 47.4697487)
9519262,47.477227,19.2451816,4,traffic_signals,,,,POINT (19.2451816 47.477227)
9519275,47.4796945,19.2445234,3,,,,,POINT (19.2445234 47.4796945)
9519287,47.482525,19.2424485,4,traffic_signals,,,,POINT (19.2424485 47.482525)
9519431,47.4894327,19.2440347,3,,,,,POINT (19.2440347 47.4894327)
9524742,47.4627002,19.1647048,3,,,,,POINT (19.1647048 47.4627002)
9524847,47.4667963,19.1538609,4,traffic_signals,,,,POINT (19.1538609 47.4667963)
9524867,47.4622795,19.1499924,3,,,,,POINT (19.1499924 47.4622795)
9524873,47.4618041,19.1488381,4,,,,,POINT (19.1488381 47.4618041)
16729483,47.4589234,18.9887472,3,,,,,POINT (18.9887472 47.4589234)
16729486,47.4632003,19.0103404,3,,,,,POINT (19.0103404 47.4632003)
16729536,47.3992768,19.0098871,3,,,,,POINT (19.0098871 47.3992768)
16729608,47.4731321,19.0340581,5,,,,,POINT (19.0340581 47.4731321)
16729611,47.4760607,19.0329064,4,,,,,POINT (19.0329064 47.4760607)
16729613,47.483191,19.0296985,3,,,,,POINT (19.0296985 47.483191)
16729618,47.4790368,19.0262154,3,crossing,,,,POINT (19.0262154 47.4790368)
20967887,47.468015,19.0179112,3,,,,,POINT (19.0179112 47.468015)
21512980,47.4290607,19.0413709,3,,,,,POINT (19.0413709 47.4290607)
21513135,47.455893,19.03975,4,,,,,POINT (19.03975 47.455893)
21513257,47.4753683,19.0402792,5,,,,,POINT (19.0402792 47.4753683)
21513392,47.4726014,19.0472623,3,,,,,POINT (19.0472623 47.4726014)
21513462,47.471503,19.0453859,3,,,,,POINT (19.0453859 47.471503)
21513669,47.4386416,19.0368491,3,,,,,POINT (19.0368491 47.4386416)
21513910,47.4738121,19.0478466,3,,,,,POINT (19.0478466 47.4738121)
21514126,47.40023,19.0111831,4,,,,,POINT (19.0111831 47.40023)
21514347,47.4410449,19.0364862,3,,,,,POINT (19.0364862 47.4410449)
21514809,47.4378192,19.0380397,3,,,,,POINT (19.0380397 47.4378192)
21515407,47.4742426,19.0242214,4,,,,,POINT (19.0242214 47.4742426)
26672273,47.3933805,19.1697635,3,motorway_junction,17,,,POINT (19.1697635 47.3933805)
26730311,47.4199301,19.2453569,3,,,,,POINT (19.2453569 47.4199301)
26730312,47.4207143,19.2436756,3,,,,,POINT (19.2436756 47.4207143)
26730331,47.466156,19.1297887,4,,,,,POINT (19.1297887 47.466156)
26730333,47.4660232,19.125884,3,,,,,POINT (19.125884 47.4660232)
26730339,47.4789894,19.0892874,4,,,,,POINT (19.0892874 47.4789894)
26732173,47.5016933,19.0458118,3,,,,,POINT (19.0458118 47.5016933)
26732454,47.483086,19.0933117,4,,,,,POINT (19.0933117 47.483086)
26732457,47.4885576,19.0922789,5,,,,,POINT (19.0922789 47.4885576)
26732468,47.5056007,19.0910637,4,traffic_signals,,,,POINT (19.0910637 47.5056007)
26732470,47.5078474,19.0871734,3,,,,,POINT (19.0871734 47.5078474)
