y,x,street_count,highway,ref,railway,junction,geometry
50.1112099,8.6926734,3,,,,,POINT (8.6926734 50.1112099)
50.1131784,8.6930162,4,,,,,POINT (8.6930162 50.1131784)
50.1113899,8.6882506,4,,,,,POINT (8.6882506 50.1113899)
50.1125649,8.6881031,4,,,,,POINT (8.6881031 50.1125649)
50.1093318,8.6924735,4,,,,,POINT (8.6924735 50.1093318)
50.1091209,8.6926546,3,crossing,,,,POINT (8.6926546 50.1091209)
50.1248489,8.7456279,3,,,,,POINT (8.7456279 50.1248489)
50.123691,8.7167817,3,,,,,POINT (8.7167817 50.123691)
50.124197,8.7150554,3,,,,,POINT (8.7150554 50.124197)
50.1247165,8.7133254,3,,,,,POINT (8.7133254 50.1247165)
50.1255722,8.7100471,3,,,,,POINT (8.7100471 50.1255722)
50.1337682,8.7064419,4,traffic_signals,,,,POINT (8.7064419 50.1337682)
50.1314515,8.7055782,4,,,,,POINT (8.7055782 50.1314515)
50.1308235,8.7054635,3,,,,,POINT (8.7054635 50.1308235)
50.1294986,8.7069564,3,,,,,POINT (8.7069564 50.1294986)
50.1316235,8.6839107,4,,,,,POINT (8.6839107 50.1316235)
50.1282181,8.6845938,4,,,,,POINT (8.6845938 50.1282181)
50.1310813,8.6946288,3,,,,,POINT (8.6946288 50.1310813)
50.1339143,8.6958663,3,,,,,POINT (8.6958663 50.1339143)
50.1225391,8.651372,5,,,,,POINT (8.651372 50.1225391)
50.123935,8.648837,4,,,,,POINT (8.648837 50.123935)
50.125082,8.6468096,4,,,,,POINT (8.6468096 50.125082)
50.1282238,8.6465341,3,,,,,POINT (8.6465341 50.1282238)
50.1190662,8.6597896,4,,,,,POINT (8.6597896 50.1190662)
50.1094845,8.6608191,5,,,,,POINT (8.6608191 50.1094845)
50.1124421,8.6794918,4,,,,,POINT (8.6794918 50.1124421)
50.1095557,8.6813572,1,,,,,POINT (8.6813572 50.1095557)
50.1092331,8.6799632,3,,,,,POINT (8.6799632 50.1092331)
50.1087399,8.6775151,2,,,,,POINT (8.6775151 50.1087399)
50.109525,8.6769347,5,,,,,POINT (8.6769347 50.109525)
50.1060664,8.6907385,1,,,,,POINT (8.6907385 50.1060664)
50.1056312,8.692164,3,,,,,POINT (8.692164 50.1056312)
