osmid,highway,lanes,maxspeed,name,oneway,width,reversed,length,geometry,ref,access,bridge,junction,tunnel,area
361708208,residential,1,RO:urban,Strada Frunzișului,True,3,False,31.157001666995427,"LINESTRING (23.5669729 46.7552249, 23.5668673 46.7554956)",,,,,,
55493754,secondary,2,RO:urban,Strada Frunzișului,True,,False,57.137563590954066,"LINESTRING (23.5669729 46.7552249, 23.5668996 46.7552961, 23.5668428 46.7553389, 23.5667478 46.7553972, 23.5666394 46.7554438, 23.566486 46.7554891, 23.5663752 46.7555123)",,,,,,
7851204,residential,2,RO:urban,Strada Ion Mincu,False,,False,205.20024942272184,"LINESTRING (23.5920925 46.7599059, 23.5921474 46.759927, 23.5927487 46.7601357, 23.5927729 46.7601465, 23.5927883 46.7601571, 23.5928014 46.7601674, 23.5928094 46.7601796, 23.5928143 46.7601929, 23.5928164 46.7602092, 23.5928171 46.7602253, 23.5926032 46.7612653, 23.5925911 46.7612882, 23.5925791 46.7613057, 23.5925589 46.7613213, 23.5925362 46.7613319, 23.5925087 46.7613392, 23.5924765 46.7613406, 23.5923939 46.7613421)",,,,,,
746230194,tertiary,2,50,Strada Republicii,False,,False,79.8373469840327,"LINESTRING (23.5920925 46.7599059, 23.5921609 46.7598354, 23.5923055 46.7596989, 23.5924731 46.7595078, 23.5926378 46.759294)",,,,,,
746230194,tertiary,2,50,Strada Republicii,False,,True,71.95547456757716,"LINESTRING (23.5920925 46.7599059, 23.5919807 46.7599855, 23.5919001 46.760042, 23.5914092 46.7603524)",,,,,,
"[7932712, 372299409, 1035852500]",secondary,"['3', '2']",RO:urban,Strada Avram Iancu,True,,False,95.8549804890231,"LINESTRING (23.5893187 46.7663455, 23.5898245 46.7663125, 23.5899538 46.7663, 23.5899953 46.7662952, 23.5900283 46.7662913, 23.5901013 46.7662839, 23.5902221 46.7662752, 23.5902902 46.7662718, 23.590393 46.7662697, 23.5904558 46.7662735, 23.5905519 46.7662818, 23.5905696 46.7662839)",,,,,,
302113468,primary,4,60,Calea Turzii,False,,False,113.34858606698951,"LINESTRING (23.5989361 46.7657773, 23.5989332 46.7658609, 23.5989124 46.7659409, 23.5988501 46.7660488, 23.5987803 46.7661407, 23.5986342 46.7663281, 23.5985509 46.7664354, 23.5984023 46.766628, 23.5983456 46.7667014)",DN1,,,,,
302113483,residential,2,RO:urban,Strada Brașov,False,,True,32.68354673650003,"LINESTRING (23.5989361 46.7657773, 23.5990325 46.7657291, 23.5992829 46.7656042)",,,,,,
"[334883452, 334883453]",primary,4,60,Calea Turzii,False,,True,169.16227140763954,"LINESTRING (23.5989361 46.7657773, 23.5989272 46.7657181, 23.5989083 46.7656575, 23.5988736 46.765566, 23.598827 46.7654594, 23.59878 46.7653464, 23.5986643 46.765078, 23.5986184 46.7649658, 23.5984875 46.7646461, 23.5984533 46.7645713, 23.5983551 46.7643101)",DN1,,,,,
8028433,primary,3,60,,True,,False,23.94505804017282,"LINESTRING (23.59803 46.7676473, 23.5981106 46.7676118, 23.5981674 46.7675824, 23.5982816 46.7675186)",,,,,,
