y,x,street_count,highway,geometry
46.7552249,23.5669729,3,,POINT (23.5669729 46.7552249)
46.7599059,23.5920925,3,,POINT (23.5920925 46.7599059)
46.7663455,23.5893187,3,,POINT (23.5893187 46.7663455)
46.7657773,23.5989361,3,,POINT (23.5989361 46.7657773)
46.7676473,23.59803,4,,POINT (23.59803 46.7676473)
46.7527385,23.5814157,3,,POINT (23.5814157 46.7527385)
46.7536697,23.5813071,3,,POINT (23.5813071 46.7536697)
46.7519027,23.5831196,4,,POINT (23.5831196 46.7519027)
46.7531029,23.5792736,3,traffic_signals,POINT (23.5792736 46.7531029)
46.763865,23.5880741,3,,POINT (23.5880741 46.763865)
46.7676351,23.5974666,3,,POINT (23.5974666 46.7676351)
46.7681243,23.5979462,3,,POINT (23.5979462 46.7681243)
46.7674185,23.5866962,4,,POINT (23.5866962 46.7674185)
46.7687594,23.5849932,3,,POINT (23.5849932 46.7687594)
46.759294,23.5926378,3,,POINT (23.5926378 46.759294)
46.7552942,23.5574896,3,,POINT (23.5574896 46.7552942)
46.7674295,23.5690451,4,crossing,POINT (23.5690451 46.7674295)
46.7708737,23.5670441,4,,POINT (23.5670441 46.7708737)
46.7700421,23.5588512,3,,POINT (23.5588512 46.7700421)
46.7709064,23.558694,3,,POINT (23.558694 46.7709064)
46.7651805,23.5710171,4,traffic_signals,POINT (23.5710171 46.7651805)
46.7645831,23.5747584,3,,POINT (23.5747584 46.7645831)
46.7682928,23.597892,3,,POINT (23.597892 46.7682928)
46.7725476,23.5954291,4,,POINT (23.5954291 46.7725476)
46.7706484,23.596576,4,,POINT (23.596576 46.7706484)
46.7686851,23.5990927,5,,POINT (23.5990927 46.7686851)
46.7709114,23.5975373,4,,POINT (23.5975373 46.7709114)
46.7736765,23.5925472,3,,POINT (23.5925472 46.7736765)
46.7729219,23.5965325,3,,POINT (23.5965325 46.7729219)
46.7756818,23.5905445,4,traffic_signals,POINT (23.5905445 46.7756818)
46.7749339,23.5897088,3,,POINT (23.5897088 46.7749339)
