osmid,y,x,highway,street_count,ref,junction,geometry
171946,40.4212466,-3.6844432,traffic_signals,3,,,POINT (-3.6844432 40.4212466)
171951,40.4173597,-3.6889892,,4,,,POINT (-3.6889892 40.4173597)
171952,40.4149907,-3.6889805,,3,,,POINT (-3.6889805 40.4149907)
171953,40.4127748,-3.6889012,,4,,,POINT (-3.6889012 40.4127748)
171954,40.4094693,-3.6887986,,3,,,POINT (-3.6887986 40.4094693)
20952888,40.4293027,-3.5965905,,3,,,POINT (-3.5965905 40.4293027)
20952890,40.4301293,-3.5961576,,3,,,POINT (-3.5961576 40.4301293)
20952893,40.4304653,-3.597241,,3,,,POINT (-3.597241 40.4304653)
20952910,40.435754,-3.607265,,3,,,POINT (-3.607265 40.435754)
20952912,40.4353783,-3.6080766,,3,,,POINT (-3.6080766 40.4353783)
20952914,40.434823,-3.6080274,,3,,,POINT (-3.6080274 40.434823)
20952917,40.4351521,-3.6065227,,3,,,POINT (-3.6065227 40.4351521)
20952923,40.4293137,-3.606873,,3,,,POINT (-3.606873 40.4293137)
20952925,40.4298453,-3.6028969,,3,,,POINT (-3.6028969 40.4298453)
20952926,40.4356563,-3.6068897,,3,,,POINT (-3.6068897 40.4356563)
20952927,40.433193,-3.6077766,,4,,,POINT (-3.6077766 40.433193)
20952929,40.4341928,-3.6061882,,3,,,POINT (-3.6061882 40.4341928)
20952931,40.4348097,-3.6060067,,3,,,POINT (-3.6060067 40.4348097)
20952942,40.4348358,-3.6066289,,4,,,POINT (-3.6066289 40.4348358)
20952943,40.4295407,-3.6051218,traffic_signals,4,,,POINT (-3.6051218 40.4295407)
20952948,40.4334318,-3.6060333,,4,,,POINT (-3.6060333 40.4334318)
20952949,40.430098,-3.5974813,,3,,,POINT (-3.5974813 40.430098)
20953196,40.42323,-3.7223004,,3,,,POINT (-3.7223004 40.42323)
20953197,40.4249877,-3.7244864,,3,,,POINT (-3.7244864 40.4249877)
20953217,40.4245287,-3.7251148,,3,,,POINT (-3.7251148 40.4245287)
20953221,40.4227481,-3.7217065,,3,,,POINT (-3.7217065 40.4227481)
20953226,40.420314,-3.7060675,,4,,,POINT (-3.7060675 40.420314)
20953234,40.4188461,-3.6958387,,3,,,POINT (-3.6958387 40.4188461)
20953240,40.4196293,-3.6885376,,3,,,POINT (-3.6885376 40.4196293)
20953243,40.4204657,-3.6860513,,3,,,POINT (-3.6860513 40.4204657)
20953244,40.4206574,-3.6850969,,3,,,POINT (-3.6850969 40.4206574)
20953247,40.4205047,-3.6667348,,3,,,POINT (-3.6667348 40.4205047)
20953250,40.4197584,-3.6635938,motorway_junction,3,1A,,POINT (-3.6635938 40.4197584)
20953256,40.4176038,-3.6548958,,3,,,POINT (-3.6548958 40.4176038)
20953271,40.4148797,-3.6308059,,3,,,POINT (-3.6308059 40.4148797)
20960687,40.4227635,-3.6113362,,4,,,POINT (-3.6113362 40.4227635)
20960688,40.424528,-3.6039654,,4,,,POINT (-3.6039654 40.424528)
20960689,40.4187461,-3.6180788,,3,,,POINT (-3.6180788 40.4187461)
20960690,40.4244934,-3.6064005,,4,,,POINT (-3.6064005 40.4244934)
20960693,40.425326,-3.6059652,,4,,,POINT (-3.6059652 40.425326)
20960694,40.4242936,-3.6016047,,3,,,POINT (-3.6016047 40.4242936)
20960695,40.424132,-3.6027551,,3,,,POINT (-3.6027551 40.424132)
20960696,40.4296901,-3.6039984,,3,,,POINT (-3.6039984 40.4296901)
20960705,40.4230024,-3.606288,,4,,,POINT (-3.606288 40.4230024)
20960707,40.4208308,-3.612307,traffic_signals,4,,,POINT (-3.612307 40.4208308)
20960708,40.4193533,-3.6206161,,4,,,POINT (-3.6206161 40.4193533)
20960709,40.4241114,-3.6029018,,3,,,POINT (-3.6029018 40.4241114)
20960713,40.421548,-3.6103132,,4,,,POINT (-3.6103132 40.421548)
20960717,40.423689,-3.6043937,,4,,,POINT (-3.6043937 40.423689)
20962888,40.4300224,-3.5961584,,3,,,POINT (-3.5961584 40.4300224)
20962900,40.4211793,-3.6112957,traffic_signals,4,,,POINT (-3.6112957 40.4211793)
20962903,40.4212216,-3.6111897,,4,,,POINT (-3.6111897 40.4212216)
20962911,40.4180037,-3.6239565,,5,,,POINT (-3.6239565 40.4180037)
20962916,40.4176695,-3.6241569,,3,,,POINT (-3.6241569 40.4176695)
20962919,40.4174998,-3.6241583,,3,,,POINT (-3.6241583 40.4174998)
20962932,40.4169962,-3.62317,,3,,,POINT (-3.62317 40.4169962)
20962935,40.4171507,-3.622797,,3,,,POINT (-3.622797 40.4171507)
