u,v,key,osmid,highway,lanes,maxspeed,name,ref,oneway,reversed,length,geometry,junction,bridge,width,access,tunnel
25655414,366819992,0,32619213,tertiary,2,40,Carrer d'Andrea Doria,Ma-1044,False,False,70.54888646901374,"LINESTRING (2.6315775 39.5705618, 2.6307598 39.5706342)",,,,,
25655414,302768567,0,32619213,tertiary,2,40,Carrer d'Andrea Doria,Ma-1044,False,True,77.58036000905781,"LINESTRING (2.6315775 39.5705618, 2.6324767 39.5704822)",,,,,
25655525,302768521,0,380849362,residential,,30,Carrer del Marquès de la Torre,,True,False,117.98334769612947,"LINESTRING (2.6277924 39.5706481, 2.6281363 39.5716755)",,,,,
25655525,302768530,0,660544604,tertiary,2,40,Carrer d'Andrea Doria,Ma-1044,False,False,38.74619444071488,"LINESTRING (2.6277924 39.5706481, 2.6273472 39.5707085)",,,,,
25655525,302768523,0,660544604,tertiary,2,40,Carrer d'Andrea Doria,Ma-1044,False,True,61.739658287717596,"LINESTRING (2.6277924 39.5706481, 2.6285061 39.5705731)",,,,,
25655548,556021892,0,93448636,residential,,20,Carretera de l'Arenal,,True,False,175.56551165420203,"LINESTRING (2.734531 39.5256114, 2.734381 39.5257343, 2.734082 39.5259884, 2.733969 39.5260861, 2.7337237 39.5262926, 2.7334217 39.5265575, 2.7333013 39.5266597, 2.7331773 39.5267656, 2.7331578 39.5267822)",,,,,
25655651,265057719,0,93448635,residential,,20,Carretera de l'Arenal,,False,False,229.49805067933283,"LINESTRING (2.7320884 39.5276897, 2.7311906 39.5284416, 2.7311411 39.5284829, 2.7309743 39.5286221, 2.7307617 39.5287995, 2.7304862 39.5290413, 2.7302839 39.5292136)",,,,,
25655744,329965437,0,29971952,residential,,,Carrer Asdrúbal,,True,False,66.67950868993886,"LINESTRING (2.7516829 39.5056914, 2.7517623 39.5056948, 2.7524009 39.5057223, 2.7524589 39.5057248)",,,,,
25655744,36502766,0,"[488103464, 466072122]",residential,,,Carrer de Cartago,,False,False,55.76905209125732,"LINESTRING (2.7516829 39.5056914, 2.7516298 39.5059262, 2.7515941 39.5059997, 2.7515361 39.5061789)",,,,,
25655744,556812670,0,466072122,residential,,,Carrer de Cartago,,False,True,56.36529090488747,"LINESTRING (2.7516829 39.5056914, 2.7516879 39.5056226, 2.7517199 39.5051853)",,,,,
25656216,3086651426,0,478275096,tertiary,,40,,Ma-1044,True,False,19.26511918223605,"LINESTRING (2.6199291 39.5721278, 2.6199414 39.5720417, 2.6199895 39.5719634)",roundabout,,,,
26484325,309419181,0,28169703,trunk_link,1,40,,,True,False,346.76227159718906,"LINESTRING (2.7746296 39.5691263, 2.774431 39.5690371, 2.7742494 39.568977, 2.7739827 39.5689381, 2.7724146 39.5687448, 2.7710102 39.5685156, 2.7706967 39.5684556)",,,,,
26484325,1643323038,0,"[210491681, 566422978, 210491678]",primary,2,40,,,True,False,74.27270784291518,"LINESTRING (2.7746296 39.5691263, 2.7745538 39.5690261, 2.7745292 39.5689712, 2.7745128 39.5689068, 2.7745108 39.5688147, 2.7745332 39.5687246, 2.7745939 39.56862, 2.7746306 39.568574, 2.7747009 39.568521)",roundabout,yes,,,
26484327,383977282,0,566422978,primary,2,40,,,True,False,34.2468251586113,"LINESTRING (2.7753942 39.5692182, 2.7753328 39.5692449, 2.7751781 39.5692843, 2.7750122 39.5692909)",roundabout,,,,
26484328,26484333,0,4348271,trunk_link,1,40,,,True,False,292.76970458019434,"LINESTRING (2.7754937 39.5685416, 2.7756638 39.5686224, 2.7758458 39.5686837, 2.7760243 39.5687261, 2.7765647 39.5688055, 2.777686 39.5689352, 2.7780909 39.5689697, 2.7788266 39.5690238)",,,,,
26484328,26484327,0,"[4348267, 210491676, 566312558]",primary,2,40,,,True,False,85.89078534372601,"LINESTRING (2.7754937 39.5685416, 2.775549 39.5686002, 2.7756094 39.568687, 2.7756414 39.5687586, 2.7756494 39.5688367, 2.7756439 39.5689126, 2.7756292 39.5689668, 2.7756057 39.569024, 2.7755658 39.5690795, 2.7754792 39.5691628, 2.7753942 39.5692182)",roundabout,yes,,,
26484332,26484327,0,4348270,trunk_link,1,40,,,True,False,357.17820110072523,"LINESTRING (2.7795458 39.5691165, 2.7784593 39.5691677, 2.7775077 39.5691695, 2.7757248 39.5691469, 2.7755414 39.5691794, 2.7753942 39.5692182)",,,,,
26484332,309419181,0,566422969,trunk,2,100,,Ma-15,True,False,762.9213079145552,"LINESTRING (2.7795458 39.5691165, 2.778188 39.5691114, 2.7774716 39.5690871, 2.7767038 39.569042, 2.7758182 39.5689642, 2.7741745 39.5688223, 2.7725232 39.5686615, 2.7706967 39.5684556)",,,,,
26484333,1652177034,0,566313460,trunk,2,100,,Ma-15,True,False,602.6988726440171,"LINESTRING (2.7788266 39.5690238, 2.7795656 39.5690155, 2.7804977 39.5690202, 2.781887 39.5690757, 2.7827921 39.5691406, 2.7837396 39.5692163, 2.7853241 39.5693401, 2.7858362 39.5693809)",,,,,
26484357,1652177314,0,566313460,trunk,2,100,,Ma-15,True,False,460.1311873097568,"LINESTRING (2.8018208 39.5708829, 2.8023831 39.5709375, 2.802724 39.5709497, 2.8030924 39.5709411, 2.8035211 39.570908, 2.8042725 39.5708175, 2.8061004 39.5705938, 2.8068382 39.5705141, 2.8071405 39.5704859)",,,,,
26484661,26484666,0,4348328,primary,,,,Ma-5013,True,False,188.4409104871653,"LINESTRING (2.754062 39.5478286, 2.7541023 39.5479845, 2.7542066 39.5481356, 2.7543523 39.5482577, 2.7545483 39.5483507, 2.7550207 39.5485406, 2.7557119 39.5488381)",,,,,
26484661,1253851977,0,566312559,primary,2,,,Ma-19A,True,False,25.99683183489886,"LINESTRING (2.754062 39.5478286, 2.7539984 39.547888, 2.7539131 39.5479238, 2.7538075 39.5479324)",roundabout,,,,
26484666,367861143,0,43919206,primary,2,,camí de la Síquia,Ma-5013,False,True,587.61475987885,"LINESTRING (2.7557119 39.5488381, 2.756208 39.549056, 2.756939 39.549427, 2.75827 39.5501025, 2.7613389 39.5518487)",,,,,
26484666,1615773378,0,1010740229,primary,,,,Ma-5013,True,False,86.12861563659307,"LINESTRING (2.7557119 39.5488381, 2.7548624 39.5485445, 2.7547976 39.5485176)",,,,,
26484671,1643322973,0,81633036,primary,,,,Ma-5013,False,True,26.072488668174447,"LINESTRING (2.7755126 39.5666606, 2.7755298 39.5668947)",,,,,
26484671,26484676,0,81633036,primary,,,,Ma-5013,False,False,141.73383785747137,"LINESTRING (2.7755126 39.5666606, 2.775466 39.5663707, 2.775369 39.566093, 2.7751288 39.5656811, 2.7749907 39.5654623)",,,,,
26484671,1643322964,0,151519268,primary_link,,,,,True,False,27.755188334865142,"LINESTRING (2.7755126 39.5666606, 2.7756193 39.5667123, 2.7758037 39.5667674)",,,,,
26484676,1555936684,0,461942450,primary,,,camí de la Síquia,Ma-5013,False,False,171.23795912047765,"LINESTRING (2.7749907 39.5654623, 2.7739127 39.5641658)",,,,,
