y,x,street_count,highway,ref,railway,geometry
39.5705618,2.6315775,4,,,,POINT (2.6315775 39.5705618)
39.5706481,2.6277924,3,,,,POINT (2.6277924 39.5706481)
39.5256114,2.734531,3,,,,POINT (2.734531 39.5256114)
39.5276897,2.7320884,2,,,,POINT (2.7320884 39.5276897)
39.5056914,2.7516829,3,,,,POINT (2.7516829 39.5056914)
39.5721278,2.6199291,3,,,,POINT (2.6199291 39.5721278)
39.5691263,2.7746296,3,,,,POINT (2.7746296 39.5691263)
39.5692182,2.7753942,3,,,,POINT (2.7753942 39.5692182)
39.5685416,2.7754937,3,,,,POINT (2.7754937 39.5685416)
39.5691165,2.7795458,3,motorway_junction,10,,POINT (2.7795458 39.5691165)
39.5690238,2.7788266,3,,,,POINT (2.7788266 39.5690238)
39.5708829,2.8018208,3,,,,POINT (2.8018208 39.5708829)
39.5478286,2.754062,3,,,,POINT (2.754062 39.5478286)
39.5488381,2.7557119,3,,,,POINT (2.7557119 39.5488381)
39.5666606,2.7755126,3,,,,POINT (2.7755126 39.5666606)
39.5654623,2.7749907,3,,,,POINT (2.7749907 39.5654623)
39.5593768,2.7697668,3,,,,POINT (2.7697668 39.5593768)
39.5591461,2.7695204,3,,,,POINT (2.7695204 39.5591461)
39.5591507,2.7699128,3,,,,POINT (2.7699128 39.5591507)
39.5681009,2.7109287,3,,,,POINT (2.7109287 39.5681009)
39.567125,2.7180116,3,,,,POINT (2.7180116 39.567125)
39.5341992,2.7355907,3,,,,POINT (2.7355907 39.5341992)
39.5334159,2.7344268,3,,,,POINT (2.7344268 39.5334159)
39.5326613,2.7333326,3,,,,POINT (2.7333326 39.5326613)
39.5328525,2.7339519,3,,,,POINT (2.7339519 39.5328525)
39.5355873,2.731606,3,,,,POINT (2.731606 39.5355873)
39.5357995,2.7322394,3,,,,POINT (2.7322394 39.5357995)
39.5375937,2.7327597,3,,,,POINT (2.7327597 39.5375937)
39.5400912,2.7354429,3,,,,POINT (2.7354429 39.5400912)
39.5400485,2.7357882,3,,,,POINT (2.7357882 39.5400485)
39.5382947,2.740279,3,,,,POINT (2.740279 39.5382947)
39.5352071,2.7354558,3,,,,POINT (2.7354558 39.5352071)
39.5395327,2.7253435,3,,,,POINT (2.7253435 39.5395327)
39.5400608,2.7211224,3,motorway_junction,7,,POINT (2.7211224 39.5400608)
39.5444346,2.7221358,4,,,,POINT (2.7221358 39.5444346)
39.5453819,2.7221436,3,,,,POINT (2.7221436 39.5453819)
39.5439987,2.720138,3,,,,POINT (2.720138 39.5439987)
39.5423988,2.7113666,3,,,,POINT (2.7113666 39.5423988)
39.5405502,2.7185723,3,motorway_junction,8,,POINT (2.7185723 39.5405502)
39.5445684,2.7201889,3,,,,POINT (2.7201889 39.5445684)
39.5867547,2.6317298,3,,,,POINT (2.6317298 39.5867547)
39.5944885,2.6581155,3,motorway_junction,5A,,POINT (2.6581155 39.5944885)
39.593939,2.658469,3,,,,POINT (2.658469 39.593939)
39.5827162,2.671925,3,motorway_junction,3A,,POINT (2.671925 39.5827162)
39.5878981,2.6651387,3,motorway_junction,3B,,POINT (2.6651387 39.5878981)
39.5953976,2.6435041,3,,,,POINT (2.6435041 39.5953976)
39.590897,2.6374195,3,motorway_junction,7A,,POINT (2.6374195 39.590897)
39.5913807,2.6381772,3,,,,POINT (2.6381772 39.5913807)
39.5303132,2.7300238,3,,,,POINT (2.7300238 39.5303132)
39.5331098,2.7267023,3,,,,POINT (2.7267023 39.5331098)
39.5334484,2.7354731,3,,,,POINT (2.7354731 39.5334484)
39.5927263,2.633305,3,,,,POINT (2.633305 39.5927263)
39.5924639,2.6329779,3,,,,POINT (2.6329779 39.5924639)
39.5885016,2.6354754,3,,,,POINT (2.6354754 39.5885016)
39.5896551,2.6342861,3,,,,POINT (2.6342861 39.5896551)
39.5892435,2.6353353,3,,,,POINT (2.6353353 39.5892435)
39.589531,2.6343309,3,,,,POINT (2.6343309 39.589531)
39.6205581,2.6049352,3,,,,POINT (2.6049352 39.6205581)
39.6073206,2.6551586,3,,,,POINT (2.6551586 39.6073206)
39.6073314,2.6555828,3,,,,POINT (2.6555828 39.6073314)
39.6081061,2.6556903,3,,,,POINT (2.6556903 39.6081061)
39.6077068,2.6553583,3,,,,POINT (2.6553583 39.6077068)
39.6073791,2.655103,3,,,,POINT (2.655103 39.6073791)
39.6159915,2.6599129,3,,,,POINT (2.6599129 39.6159915)
39.6357317,2.6651924,3,,,,POINT (2.6651924 39.6357317)
39.5645234,2.6801006,3,,,,POINT (2.6801006 39.5645234)
39.5662672,2.6765236,3,,,,POINT (2.6765236 39.5662672)
39.5678685,2.6771047,3,,,,POINT (2.6771047 39.5678685)
39.5662814,2.6766392,3,,,,POINT (2.6766392 39.5662814)
39.5418601,2.7098644,3,motorway_junction,7A,,POINT (2.7098644 39.5418601)
39.5414045,2.7116996,3,,,,POINT (2.7116996 39.5414045)
39.5428416,2.7102803,3,,,,POINT (2.7102803 39.5428416)
39.5489336,2.7292,3,,,,POINT (2.7292 39.5489336)
39.547159,2.7251269,3,,,,POINT (2.7251269 39.547159)
39.5209513,2.7583472,3,,,,POINT (2.7583472 39.5209513)
39.5084441,2.7549792,3,,,,POINT (2.7549792 39.5084441)
39.5074504,2.753107,4,,,,POINT (2.753107 39.5074504)
39.5042708,2.7532687,4,,,,POINT (2.7532687 39.5042708)
39.5042224,2.7521842,4,,,,POINT (2.7521842 39.5042224)
39.5070932,2.7541024,4,,,,POINT (2.7541024 39.5070932)
39.5182855,2.7608472,3,,,,POINT (2.7608472 39.5182855)
39.5771747,2.64736,4,,,,POINT (2.64736 39.5771747)
39.5775426,2.6472099,3,,,,POINT (2.6472099 39.5775426)
39.5799989,2.6523207,4,,,,POINT (2.6523207 39.5799989)
