osmid,highway,lanes,maxspeed,name,oneway,reversed,length,geometry,junction,width,bridge,tunnel,access,ref
31093720,residential,2,30,Rue Louis Lumière,False,False,4.347746894370387,"LINESTRING (2.4107318 48.8635232, 2.4107178 48.8635612)",,,,,,
85735969,residential,2,30,Rue Louis Lumière,False,True,105.92592718719119,"LINESTRING (2.4107318 48.8635232, 2.4107698 48.8633722, 2.4108907 48.8627129, 2.4109154 48.8625784)",,,,,,
315818975,residential,,30,Rue Henri Duvernois,False,True,35.15455565448521,"LINESTRING (2.4107318 48.8635232, 2.4108343 48.8634834, 2.4108899 48.8634531, 2.4111129 48.8633318)",,,,,,
"[266463585, 611974677]",residential,2,30,Rue Louis Ganne,False,True,128.65447103597208,"LINESTRING (2.4107318 48.8635232, 2.410615 48.8635125, 2.4097551 48.8634335, 2.4091846 48.8633827, 2.4090915 48.8633749, 2.4090486 48.8633706, 2.4089895 48.8633653)",,,,,,
4039102,residential,,30,Rue de Buzenval,True,False,129.01894616061045,"LINESTRING (2.401373 48.8518516, 2.4013344 48.8519246, 2.400815 48.8528778, 2.4007804 48.8529444)",,,,,,
54830382,tertiary,2,30,Rue d'Avron,False,False,62.46978181419205,"LINESTRING (2.401373 48.8518516, 2.4012791 48.8518352, 2.4009958 48.8517858, 2.4005483 48.8517062)",,,,,,
54830382,tertiary,2,30,Rue d'Avron,False,True,201.18153764023717,"LINESTRING (2.401373 48.8518516, 2.4015134 48.8518769, 2.4019457 48.8519549, 2.4025405 48.8520607, 2.4038922 48.8523019, 2.4040265 48.8523258)",,,,,,
515928027,primary,6,30,Place de la Porte de Montreuil,True,False,38.76395126710826,"LINESTRING (2.4134092 48.8545629, 2.4132577 48.8544952, 2.4131393 48.8544119, 2.4130481 48.8543149)",circular,,,,,
"[1322961139, 10231214]",trunk_link,1,50,,True,False,268.7955689603568,"LINESTRING (2.4143516 48.8545241, 2.4143476 48.8546345, 2.4143438 48.8547015, 2.4142717 48.8555266, 2.4142307 48.8559527, 2.4142148 48.8561182, 2.4142171 48.8564353, 2.4142207 48.8569388)",,,,,,
515928027,primary,6,30,Place de la Porte de Montreuil,True,False,73.15675722397155,"LINESTRING (2.4143516 48.8545241, 2.4143088 48.854546, 2.4141676 48.8545946, 2.4140153 48.8546255, 2.4138571 48.8546377, 2.4136981 48.8546309, 2.4135436 48.8546052, 2.4134092 48.8545629)",circular,,,,,
515928027,primary,6,30,Place de la Porte de Montreuil,True,False,37.538236728790395,"LINESTRING (2.414664 48.8542608, 2.4146075 48.854332, 2.4145302 48.8544114, 2.4144473 48.8544686, 2.4143516 48.8545241)",circular,,,,,
10231210,primary,6,30,Place de la Porte de Montreuil,True,False,47.021982450588844,"LINESTRING (2.414572 48.8537522, 2.4146415 48.8538394, 2.4146869 48.853932, 2.4147081 48.8540282, 2.4147057 48.8541581)",circular,,,,,
32137109,tertiary,2,30,Avenue de Gravelle,True,False,11.013769316537703,"LINESTRING (2.4011777 48.8295385, 2.4012696 48.8295537, 2.4013207 48.8295683)",,,,,,
"[84416296, 1303225414]",secondary,3,30,Rue de Tolbiac,False,False,154.0921311476369,"LINESTRING (2.3614982 48.8263456, 2.3618586 48.8263893, 2.3630368 48.8265526, 2.363321 48.826592, 2.3633827 48.8266007, 2.3635598 48.8266251)",,,,,,
84416296,secondary,3,30,Rue de Tolbiac,False,True,114.40988245853046,"LINESTRING (2.3614982 48.8263456, 2.3607406 48.8262432, 2.360655 48.8262331, 2.3602855 48.8261849, 2.3601236 48.8261698, 2.3599616 48.8261632)",,,,,,
3599327,secondary,2,30,Rue de Tolbiac,False,False,99.25112859247702,"LINESTRING (2.3572608 48.8261825, 2.3573891 48.826182, 2.3574726 48.8261808, 2.3575585 48.8261798, 2.3586162 48.8261615)",,,,,,
"[157910468, 56138076]",secondary,3,30,Rue de Tolbiac,False,False,264.9930387754758,"LINESTRING (2.3572608 48.8261825, 2.3571435 48.8261807, 2.3570596 48.8261788, 2.3566572 48.8261564, 2.3560257 48.8261206, 2.3553091 48.8260801, 2.3552177 48.8260749, 2.3551352 48.8260703, 2.3543948 48.8260291, 2.3540677 48.8260119, 2.3537682 48.8259964, 2.353653 48.8259905)",,,,,,
309765258,primary,5,30,Avenue d'Italie,False,False,44.37675936154606,"LINESTRING (2.3572608 48.8261825, 2.3572955 48.8260492, 2.357308 48.8260012, 2.3573537 48.8258842, 2.3573807 48.825822, 2.3573914 48.8257932)",,,,,,
"[298746802, 309765259]",primary,4,30,Avenue d'Italie,False,True,64.8099422173755,"LINESTRING (2.3572608 48.8261825, 2.3572326 48.8262912, 2.3572183 48.826346, 2.3571437 48.8265843, 2.3571405 48.8265943, 2.3571131 48.8266809, 2.3570898 48.8267543)",,,,,,
11288141,tertiary,2,30,Rue Bobillot,False,True,183.1041006659192,"LINESTRING (2.3503781 48.8258123, 2.3502745 48.8257105, 2.3502121 48.8256489, 2.3500121 48.8254516, 2.349656 48.8251001, 2.3495765 48.8250217, 2.3489897 48.8244426)",,,,,,
11288240,residential,,30,Rue Charles Fourier,True,False,72.58704775615861,"LINESTRING (2.3503781 48.8258123, 2.3505423 48.8257029, 2.3507841 48.8255325, 2.3510655 48.8253419)",,,,,,
85735933,tertiary,2,30,Rue Bobillot,False,False,114.79385105747428,"LINESTRING (2.3503781 48.8258123, 2.3504827 48.8259154, 2.350632 48.826063, 2.3512488 48.8266709)",,,,,,
"[662481808, 662481807, 748705046, 748705047]",secondary,2,30,Rue de Tolbiac,False,False,147.31407917462346,"LINESTRING (2.3503781 48.8258123, 2.3502053 48.8257987, 2.3501282 48.8257958, 2.3498525 48.8257817, 2.3496626 48.8257715, 2.348593 48.8257141, 2.3485368 48.8257113, 2.3484219 48.8257047, 2.3483728 48.8257029)",,10.2,,,,
"[748705048, 56138076]",secondary,3,30,Rue de Tolbiac,False,True,173.78706251833123,"LINESTRING (2.3503781 48.8258123, 2.3506241 48.8258244, 2.350706 48.825828, 2.3509991 48.8258442, 2.352744 48.8259409)",,,,,,
23952334,secondary,3,30,Rue de Tolbiac,False,False,102.99150064609213,"LINESTRING (2.3465869 48.825757, 2.3464545 48.8257768, 2.3463709 48.8257887, 2.3460171 48.8258402, 2.3456816 48.8258904, 2.3454515 48.8259272, 2.3453565 48.8259328, 2.3452101 48.8259416)",,,,,,
172636184,residential,1,30,Rue Barrault,True,False,78.9448989825097,"LINESTRING (2.3465869 48.825757, 2.346602 48.8256609, 2.3466335 48.82521, 2.3466503 48.8250484)",,,,,,
662481807,secondary,2,30,Rue de Tolbiac,False,True,47.17984601200498,"LINESTRING (2.3465869 48.825757, 2.3467259 48.8257348, 2.3467898 48.8257246, 2.347046 48.8256804, 2.3471195 48.8256688, 2.3472127 48.8256558)",,,,,,
11288473,residential,2,30,Rue Vergniaud,False,False,33.51645245375624,"LINESTRING (2.3452101 48.8259416, 2.3451846 48.825863, 2.3451676 48.8258162, 2.3451066 48.825648)",,,,,,
23952334,secondary,3,30,Rue de Tolbiac,False,True,102.99150064609213,"LINESTRING (2.3452101 48.8259416, 2.3453565 48.8259328, 2.3454515 48.8259272, 2.3456816 48.8258904, 2.3460171 48.8258402, 2.3463709 48.8257887, 2.3464545 48.8257768, 2.3465869 48.825757)",,,,,,
"[513831328, 171930668]",residential,2,30,Rue Vergniaud,False,False,219.35107851959782,"LINESTRING (2.3452101 48.8259416, 2.3452353 48.8260402, 2.3453196 48.8264332, 2.3454027 48.8268206, 2.3455182 48.8273589, 2.3455698 48.8276031, 2.3456168 48.8278122, 2.3456404 48.8278937)",,,,,,
685720068,secondary,3,30,Rue de Tolbiac,False,False,87.31248104179002,"LINESTRING (2.3452101 48.8259416, 2.3451002 48.8259516, 2.3450384 48.8259602, 2.3442258 48.8260889, 2.3441533 48.8260992, 2.3440471 48.8261143)",,,,,,
221126365,residential,,30,Rue des Plantes,True,False,88.60327755000876,"LINESTRING (2.3226525 48.8292991, 2.3226023 48.8292325, 2.3222397 48.8287737, 2.3221316 48.8286671, 2.3220611 48.8286055)",,,,,,
"[824923521, 1160391201]",secondary,1,30,Rue d'Alésia,True,False,123.9195026559214,"LINESTRING (2.3226525 48.8292991, 2.322569 48.8293291, 2.3220386 48.8295185, 2.3217672 48.8296172, 2.3211682 48.829835)",,10,,,,
5210719,residential,2,30,Rue Didot,True,False,99.2038216121029,"LINESTRING (2.319263 48.8305326, 2.3194202 48.8306837, 2.3194374 48.8307149, 2.3194456 48.8307312, 2.3197953 48.8312793, 2.3198354 48.8313378)",,,,,,
"[5210768, 1136744315]",residential,,30,Rue de Gergovie,True,False,173.07962573813882,"LINESTRING (2.319263 48.8305326, 2.3192607 48.8305794, 2.319258 48.8306332, 2.3192287 48.8306564, 2.3190528 48.8307957, 2.3187386 48.8310551, 2.3179751 48.8316854, 2.3178741 48.8317688)",,7.2,,,,
"[1173732322, 1173732323, 1173732324, 1173732325]",secondary,1,30,Rue d'Alésia,True,False,141.66298178393887,"LINESTRING (2.319263 48.8305326, 2.3191282 48.830574, 2.3190651 48.8305933, 2.3189281 48.8306353, 2.318769 48.8306823, 2.3185482 48.8307496, 2.3181261 48.8308727, 2.3179729 48.8309146, 2.3174929 48.8310473)",,10,,,,
"[1146559482, 5210428]",tertiary,,30,Rue Raymond Losserand,True,False,144.41738588679476,"LINESTRING (2.3141451 48.8318162, 2.3142482 48.831872, 2.3150024 48.8322742, 2.3150933 48.8323228, 2.3155816 48.8325873, 2.3156725 48.8326383)",,,,,,
1173732329,secondary,1,30,Rue d'Alésia,True,False,46.5258835239468,"LINESTRING (2.3141451 48.8318162, 2.3140387 48.831843, 2.3139691 48.8318619, 2.3138137 48.8318998, 2.3136139 48.831948, 2.3135538 48.8319688)",,10,,,,
