y,x,street_count,highway,junction,railway,ref,geometry
48.8635232,2.4107318,4,,,,,POINT (2.4107318 48.8635232)
48.8518516,2.401373,4,,,,,POINT (2.401373 48.8518516)
48.8545629,2.4134092,3,,,,,POINT (2.4134092 48.8545629)
48.8545241,2.4143516,3,,,,,POINT (2.4143516 48.8545241)
48.8542608,2.414664,3,,,,,POINT (2.414664 48.8542608)
48.8537522,2.414572,3,,,,,POINT (2.414572 48.8537522)
48.8295385,2.4011777,3,,,,,POINT (2.4011777 48.8295385)
48.8263456,2.3614982,3,,,,,POINT (2.3614982 48.8263456)
48.8261825,2.3572608,4,traffic_signals,,,,POINT (2.3572608 48.8261825)
48.8258123,2.3503781,5,traffic_signals,,,,POINT (2.3503781 48.8258123)
48.825757,2.3465869,4,traffic_signals,,,,POINT (2.3465869 48.825757)
48.8259416,2.3452101,4,traffic_signals,,,,POINT (2.3452101 48.8259416)
48.8292991,2.3226525,4,traffic_signals,,,,POINT (2.3226525 48.8292991)
48.8305326,2.319263,5,traffic_signals,,,,POINT (2.319263 48.8305326)
48.8318162,2.3141451,4,traffic_signals,,,,POINT (2.3141451 48.8318162)
48.8335638,2.3092306,4,,yes,,,POINT (2.3092306 48.8335638)
48.8372281,2.2964564,4,,,,,POINT (2.2964564 48.8372281)
48.8392633,2.2919595,4,,,,,POINT (2.2919595 48.8392633)
48.8421683,2.2855643,4,traffic_signals,,,,POINT (2.2855643 48.8421683)
48.8474292,2.2737147,5,,yes,,,POINT (2.2737147 48.8474292)
48.8482358,2.2699037,4,traffic_signals,,,,POINT (2.2699037 48.8482358)
48.8479618,2.2622425,3,,,,,POINT (2.2622425 48.8479618)
48.8479246,2.2597533,4,,,,,POINT (2.2597533 48.8479246)
48.8479122,2.2585518,4,,,,,POINT (2.2585518 48.8479122)
48.8530352,2.2618853,4,traffic_signals,,,,POINT (2.2618853 48.8530352)
48.8573541,2.2646623,4,traffic_signals,,,,POINT (2.2646623 48.8573541)
48.8578749,2.2629378,3,,,,,POINT (2.2629378 48.8578749)
48.8583101,2.2559777,3,,,,,POINT (2.2559777 48.8583101)
48.8637304,2.232598,3,,,,,POINT (2.232598 48.8637304)
48.8622922,2.2383105,4,,,,,POINT (2.2383105 48.8622922)
48.8474723,2.3655296,4,traffic_signals,,,,POINT (2.3655296 48.8474723)
48.8508902,2.3672854,3,traffic_signals,,,,POINT (2.3672854 48.8508902)
48.8487894,2.3679988,3,traffic_signals,,,,POINT (2.3679988 48.8487894)
48.8385973,2.3507157,3,,,,,POINT (2.3507157 48.8385973)
48.8380303,2.3510101,4,,,,,POINT (2.3510101 48.8380303)
48.8332121,2.3543465,3,,,,,POINT (2.3543465 48.8332121)
48.8331727,2.3567612,4,,,,,POINT (2.3567612 48.8331727)
48.8365766,2.3592953,5,traffic_signals,,,,POINT (2.3592953 48.8365766)
48.84166,2.3519793,3,traffic_signals,,,,POINT (2.3519793 48.84166)
48.8396902,2.3512679,3,traffic_signals,,,,POINT (2.3512679 48.8396902)
48.8466037,2.3516349,4,traffic_signals,,,,POINT (2.3516349 48.8466037)
48.8266453,2.363724,4,,,,,POINT (2.363724 48.8266453)
48.8471299,2.3512394,4,,,,,POINT (2.3512394 48.8471299)
48.8480778,2.3505051,4,traffic_signals,,,,POINT (2.3505051 48.8480778)
48.8523487,2.3482382,3,traffic_signals,,,,POINT (2.3482382 48.8523487)
48.8560699,2.3507047,4,,,,,POINT (2.3507047 48.8560699)
48.857491,2.351447,3,traffic_signals,,,,POINT (2.351447 48.857491)
48.8612278,2.3534869,3,traffic_signals,,,,POINT (2.3534869 48.8612278)
48.8627221,2.3542782,3,traffic_signals,,,,POINT (2.3542782 48.8627221)
48.8685611,2.3630587,3,,,,,POINT (2.3630587 48.8685611)
48.8748138,2.3573832,4,,,,,POINT (2.3573832 48.8748138)
48.8672969,2.3568082,1,,,,,POINT (2.3568082 48.8672969)
48.8696795,2.3526101,3,,,,,POINT (2.3526101 48.8696795)
48.8706817,2.3478935,3,traffic_signals,,,,POINT (2.3478935 48.8706817)
48.8763653,2.3560333,4,traffic_signals,,,,POINT (2.3560333 48.8763653)
48.8785206,2.3540574,4,,yes,,,POINT (2.3540574 48.8785206)
48.8804947,2.3523043,6,,yes,,,POINT (2.3523043 48.8804947)
48.8719982,2.3400527,4,traffic_signals,,,,POINT (2.3400527 48.8719982)
48.8722422,2.3382998,4,traffic_signals,,,,POINT (2.3382998 48.8722422)
48.8729396,2.3332569,5,,,,,POINT (2.3332569 48.8729396)
48.8742709,2.3313143,3,traffic_signals,,,,POINT (2.3313143 48.8742709)
48.8742988,2.3327119,4,,,,,POINT (2.3327119 48.8742988)
