y,x,street_count,highway,railway,ref,junction,geometry
41.7021122,12.3483586,3,,,,,POINT (12.3483586 41.7021122)
41.7337426,12.264032,3,,,,,POINT (12.264032 41.7337426)
41.7322567,12.2686838,3,,,,,POINT (12.2686838 41.7322567)
41.7267575,12.2857285,3,,,,,POINT (12.2857285 41.7267575)
41.724389,12.2930693,4,,,,,POINT (12.2930693 41.724389)
41.72378,12.295012,3,,,,,POINT (12.295012 41.72378)
41.7230444,12.2968851,4,,,,,POINT (12.2968851 41.7230444)
41.714662,12.3171989,3,,,,,POINT (12.3171989 41.714662)
41.712044,12.32298,3,,,,,POINT (12.32298 41.712044)
41.9007319,12.4648844,4,,,,,POINT (12.4648844 41.9007319)
41.899504,12.4665261,3,traffic_signals,,,,POINT (12.4665261 41.899504)
41.9046697,12.4788676,2,,,,,POINT (12.4788676 41.9046697)
41.901815,12.4634563,4,,,,,POINT (12.4634563 41.901815)
41.8997896,12.4642534,4,,,,,POINT (12.4642534 41.8997896)
41.8996836,12.4625957,4,,,,,POINT (12.4625957 41.8996836)
41.9010886,12.4632176,4,,,,,POINT (12.4632176 41.9010886)
41.9005531,12.467407,3,,,,,POINT (12.467407 41.9005531)
41.9012216,12.4667282,3,,,,,POINT (12.4667282 41.9012216)
41.8986561,12.4666911,3,,,,,POINT (12.4666911 41.8986561)
41.9004539,12.4652611,3,,,,,POINT (12.4652611 41.9004539)
41.8991995,12.4684567,3,,,,,POINT (12.4684567 41.8991995)
41.8988839,12.4695763,3,,,,,POINT (12.4695763 41.8988839)
41.8977238,12.4722018,3,,,,,POINT (12.4722018 41.8977238)
41.8971855,12.4727302,3,,,,,POINT (12.4727302 41.8971855)
41.8966629,12.4733201,3,,,,,POINT (12.4733201 41.8966629)
41.897481,12.470083,4,,,,,POINT (12.470083 41.897481)
41.8976445,12.4693827,4,,,,,POINT (12.4693827 41.8976445)
41.8975097,12.4669717,3,,,,,POINT (12.4669717 41.8975097)
41.8968207,12.4676135,3,,,,,POINT (12.4676135 41.8968207)
41.8973594,12.4680257,5,,,,,POINT (12.4680257 41.8973594)
41.8972997,12.4685882,3,,,,,POINT (12.4685882 41.8972997)
41.8972576,12.4691615,3,,,,,POINT (12.4691615 41.8972576)
41.8977784,12.4674291,3,,,,,POINT (12.4674291 41.8977784)
41.9004415,12.4726864,3,,,,,POINT (12.4726864 41.9004415)
41.9002227,12.473814,2,,,,,POINT (12.473814 41.9002227)
41.8964934,12.4744851,3,,,,,POINT (12.4744851 41.8964934)
41.8963102,12.4758502,3,,,,,POINT (12.4758502 41.8963102)
41.8965332,12.4740555,3,,,,,POINT (12.4740555 41.8965332)
41.9049233,12.4750844,5,,,,,POINT (12.4750844 41.9049233)
41.902029,12.4952304,6,,,,,POINT (12.4952304 41.902029)
41.9015887,12.494543,4,,,,,POINT (12.494543 41.9015887)
41.9011203,12.4938275,4,,,,,POINT (12.4938275 41.9011203)
41.9006435,12.4930978,4,,,,,POINT (12.4930978 41.9006435)
41.9002447,12.4924963,3,,,,,POINT (12.4924963 41.9002447)
41.8996964,12.491662,4,,,,,POINT (12.491662 41.8996964)
41.8988284,12.4903418,4,,,,,POINT (12.4903418 41.8988284)
41.8986141,12.4900226,3,,,,,POINT (12.4900226 41.8986141)
41.8973291,12.4880626,4,,,,,POINT (12.4880626 41.8973291)
41.8966625,12.4870163,4,,,,,POINT (12.4870163 41.8966625)
41.9008288,12.4998175,2,traffic_signals,,,,POINT (12.4998175 41.9008288)
41.9003165,12.4992668,4,traffic_signals,tram_level_crossing,,,POINT (12.4992668 41.9003165)
41.8992075,12.4980573,4,traffic_signals,,,,POINT (12.4980573 41.8992075)
41.8986723,12.4974872,5,,,,,POINT (12.4974872 41.8986723)
41.8973743,12.4960073,4,,,,,POINT (12.4960073 41.8973743)
41.8946669,12.4932459,3,,,,,POINT (12.4932459 41.8946669)
41.8933059,12.4878737,1,,,,,POINT (12.4878737 41.8933059)
41.8966841,12.4822238,4,,,,,POINT (12.4822238 41.8966841)
41.9024786,12.4797832,3,,,,,POINT (12.4797832 41.9024786)
41.8927355,12.4713136,3,,,,,POINT (12.4713136 41.8927355)
41.8921179,12.4721781,3,,,,,POINT (12.4721781 41.8921179)
41.8998199,12.5123286,4,,,,,POINT (12.5123286 41.8998199)
41.9005342,12.5082356,3,,,,,POINT (12.5082356 41.9005342)
41.9010124,12.5079782,3,,,,,POINT (12.5079782 41.9010124)
41.9027733,12.5070116,4,traffic_signals,,,,POINT (12.5070116 41.9027733)
41.9038302,12.5068594,3,,,,,POINT (12.5068594 41.9038302)
41.9062237,12.5054854,4,traffic_signals,,,,POINT (12.5054854 41.9062237)
41.908063,12.5046647,3,crossing,,,,POINT (12.5046647 41.908063)
41.8862126,12.3877738,3,,,,,POINT (12.3877738 41.8862126)
41.8858835,12.3820563,3,,,,,POINT (12.3820563 41.8858835)
