y,x,street_count,highway,ref,junction,geometry
25.0658327,121.5357476,3,,,,POINT (121.5357476 25.0658327)
25.044937,121.5491411,4,traffic_signals,,,POINT (121.5491411 25.044937)
25.0280986,121.5489957,4,traffic_signals,,,POINT (121.5489957 25.0280986)
25.0449613,121.5437953,4,traffic_signals,,,POINT (121.5437953 25.0449613)
25.05367,121.5161359,4,traffic_signals,,,POINT (121.5161359 25.05367)
25.0512603,121.5154408,4,traffic_signals,,,POINT (121.5154408 25.0512603)
24.9764991,121.5749793,3,,,,POINT (121.5749793 24.9764991)
24.9756494,121.5569384,3,motorway_junction,26,,POINT (121.5569384 24.9756494)
24.9747691,121.5558948,3,,,,POINT (121.5558948 24.9747691)
24.9763532,121.5688424,3,motorway_junction,,,POINT (121.5688424 24.9763532)
24.9760799,121.5750321,3,,,,POINT (121.5750321 24.9760799)
25.0201912,121.522747,4,,,,POINT (121.522747 25.0201912)
25.0210483,121.5253472,5,,,,POINT (121.5253472 25.0210483)
25.0162714,121.5326699,4,traffic_signals,,,POINT (121.5326699 25.0162714)
25.0187227,121.5376165,1,,,,POINT (121.5376165 25.0187227)
25.0222424,121.5262506,3,traffic_signals,,,POINT (121.5262506 25.0222424)
25.1193027,121.4999257,3,motorway_junction,,,POINT (121.4999257 25.1193027)
25.1237921,121.4642746,4,traffic_signals,,,POINT (121.4642746 25.1237921)
25.0350606,121.5125123,5,traffic_signals,,,POINT (121.5125123 25.0350606)
25.0297811,121.5152176,4,traffic_signals,,,POINT (121.5152176 25.0297811)
25.0272216,121.5159181,5,traffic_signals,,,POINT (121.5159181 25.0272216)
25.0256934,121.5163155,4,traffic_signals,,,POINT (121.5163155 25.0256934)
25.0256692,121.5164306,4,traffic_signals,,,POINT (121.5164306 25.0256692)
25.027173,121.5160433,4,traffic_signals,,,POINT (121.5160433 25.027173)
25.0297969,121.5153159,4,traffic_signals,,,POINT (121.5153159 25.0297969)
25.0319251,121.5144699,4,traffic_signals,,,POINT (121.5144699 25.0319251)
25.0267769,121.5211394,4,traffic_signals,,,POINT (121.5211394 25.0267769)
25.026857,121.5210407,5,traffic_signals,,,POINT (121.5210407 25.026857)
25.0267709,121.5180106,4,traffic_signals,,,POINT (121.5180106 25.0267709)
25.0272716,121.5160252,6,traffic_signals,,,POINT (121.5160252 25.0272716)
25.027314,121.5158937,4,traffic_signals,,,POINT (121.5158937 25.027314)
25.0169773,121.5332649,3,traffic_signals,,,POINT (121.5332649 25.0169773)
25.0163646,121.532573,3,traffic_signals,,,POINT (121.532573 25.0163646)
25.0416839,121.5438394,4,traffic_signals,,,POINT (121.5438394 25.0416839)
25.035277,121.6227227,3,,,,POINT (121.6227227 25.035277)
25.0353527,121.6236899,3,motorway_junction,0,,POINT (121.6236899 25.0353527)
25.033526,121.6170675,3,,,,POINT (121.6170675 25.033526)
25.0356548,121.6203838,3,motorway_junction,16,,POINT (121.6203838 25.0356548)
25.0270177,121.5223895,4,traffic_signals,,,POINT (121.5223895 25.0270177)
25.0271109,121.5222923,4,traffic_signals,,,POINT (121.5222923 25.0271109)
25.0298254,121.5202882,5,traffic_signals,,,POINT (121.5202882 25.0298254)
25.0483798,121.5152946,3,,,,POINT (121.5152946 25.0483798)
25.0298603,121.5204576,3,traffic_signals,,,POINT (121.5204576 25.0298603)
25.0348589,121.5166608,5,traffic_signals,,,POINT (121.5166608 25.0348589)
25.0271507,121.5224656,5,traffic_signals,,,POINT (121.5224656 25.0271507)
25.0270028,121.5225652,4,traffic_signals,,,POINT (121.5225652 25.0270028)
25.021249,121.5276733,5,traffic_signals,,,POINT (121.5276733 25.021249)
25.0242911,121.5241456,2,,,,POINT (121.5241456 25.0242911)
25.0237864,121.5247805,3,traffic_signals,,,POINT (121.5247805 25.0237864)
25.0289716,121.5188431,4,traffic_signals,,,POINT (121.5188431 25.0289716)
25.053123,121.6152516,4,traffic_signals,,,POINT (121.6152516 25.053123)
25.0532229,121.6162437,4,traffic_signals,,,POINT (121.6162437 25.0532229)
25.0532237,121.6163366,3,traffic_signals,,,POINT (121.6163366 25.0532237)
25.0530207,121.6152615,4,traffic_signals,,,POINT (121.6152615 25.0530207)
25.0531048,121.6162247,4,traffic_signals,,,POINT (121.6162247 25.0531048)
25.0531051,121.6163181,3,traffic_signals,,,POINT (121.6163181 25.0531051)
25.0438537,121.616239,3,traffic_signals,,,POINT (121.616239 25.0438537)
25.036025,121.6169075,3,,,,POINT (121.6169075 25.036025)
25.0380034,121.6169771,3,,,,POINT (121.6169771 25.0380034)
25.0333557,121.5490449,4,traffic_signals,,,POINT (121.5490449 25.0333557)
25.0414462,121.5491111,4,traffic_signals,,,POINT (121.5491111 25.0414462)
25.0415558,121.5438379,4,traffic_signals,,,POINT (121.5438379 25.0415558)
25.0164493,121.5326756,4,traffic_signals,,,POINT (121.5326756 25.0164493)
25.0163548,121.5327708,7,traffic_signals,,,POINT (121.5327708 25.0163548)
25.0298039,121.5204984,4,traffic_signals,,,POINT (121.5204984 25.0298039)
25.0784327,121.5795532,4,traffic_signals,,,POINT (121.5795532 25.0784327)
25.0750084,121.585194,4,traffic_signals,,,POINT (121.585194 25.0750084)
25.0793376,121.5768747,4,traffic_signals,,,POINT (121.5768747 25.0793376)
25.0728381,121.5760946,4,traffic_signals,,,POINT (121.5760946 25.0728381)
25.0675811,121.576509,3,,,,POINT (121.576509 25.0675811)
25.0823265,121.5655026,4,traffic_signals,,,POINT (121.5655026 25.0823265)
25.0820389,121.5690749,3,traffic_signals,,,POINT (121.5690749 25.0820389)
25.0847824,121.593724,3,traffic_signals,,,POINT (121.593724 25.0847824)
25.084052,121.5951299,4,traffic_signals,,,POINT (121.5951299 25.084052)
25.07332,121.6056393,4,traffic_signals,,,POINT (121.6056393 25.07332)
25.0818988,121.5811717,3,,,,POINT (121.5811717 25.0818988)
25.0834176,121.5866031,3,,,,POINT (121.5866031 25.0834176)
25.0674909,121.5747494,4,traffic_signals,,,POINT (121.5747494 25.0674909)
25.1229759,121.4714472,4,traffic_signals,,,POINT (121.4714472 25.1229759)
25.1253522,121.4716578,4,traffic_signals,,,POINT (121.4716578 25.1253522)
25.1266976,121.4718107,3,traffic_signals,,,POINT (121.4718107 25.1266976)
25.1211064,121.4979978,3,,,,POINT (121.4979978 25.1211064)
25.1111112,121.5106026,3,,,,POINT (121.5106026 25.1111112)
25.0808004,121.5223672,4,traffic_signals,,,POINT (121.5223672 25.0808004)
25.1106929,121.5113852,4,,,,POINT (121.5113852 25.1106929)
25.0370481,121.5081219,4,traffic_signals,,,POINT (121.5081219 25.0370481)
25.0374357,121.5070428,5,traffic_signals,,,POINT (121.5070428 25.0374357)
25.0347041,121.5167709,5,traffic_signals,,,POINT (121.5167709 25.0347041)
25.0359342,121.5108427,4,traffic_signals,,,POINT (121.5108427 25.0359342)
25.0266691,121.5285197,3,traffic_signals,,,POINT (121.5285197 25.0266691)
25.0265196,121.528507,4,traffic_signals,,,POINT (121.528507 25.0265196)
25.0254341,121.5227544,4,traffic_signals,,,POINT (121.5227544 25.0254341)
25.0229282,121.5245704,1,,,,POINT (121.5245704 25.0229282)
25.1227844,121.4714317,4,traffic_signals,,,POINT (121.4714317 25.1227844)
25.031319,121.5078343,4,traffic_signals,,,POINT (121.5078343 25.031319)
25.041919,121.5000898,4,traffic_signals,,,POINT (121.5000898 25.041919)
25.0384177,121.5252338,4,traffic_signals,,,POINT (121.5252338 25.0384177)
25.0204079,121.5220505,3,motorway_junction,,,POINT (121.5220505 25.0204079)
25.0204341,121.5225488,3,,,,POINT (121.5225488 25.0204341)
25.080744,121.5225095,4,traffic_signals,,,POINT (121.5225095 25.080744)
25.0241088,121.5216897,4,traffic_signals,,,POINT (121.5216897 25.0241088)
25.0204206,121.5222516,3,,,,POINT (121.5222516 25.0204206)
25.041993,121.5244051,4,traffic_signals,,,POINT (121.5244051 25.041993)
25.0427567,121.5264941,3,traffic_signals,,,POINT (121.5264941 25.0427567)
25.0431734,121.524746,4,traffic_signals,,,POINT (121.524746 25.0431734)
25.0415845,121.5261538,4,traffic_signals,,,POINT (121.5261538 25.0415845)
25.0450278,121.5171543,3,traffic_signals,,,POINT (121.5171543 25.0450278)
25.040858,121.5291321,4,traffic_signals,,,POINT (121.5291321 25.040858)
25.0222923,121.5239078,3,traffic_signals,,,POINT (121.5239078 25.0222923)
25.0219631,121.531542,4,traffic_signals,,,POINT (121.531542 25.0219631)
25.0176116,121.5286115,3,,,,POINT (121.5286115 25.0176116)
25.0152211,121.5260699,3,,,,POINT (121.5260699 25.0152211)
25.025808,121.5232846,3,traffic_signals,,,POINT (121.5232846 25.025808)
25.0079817,121.538133,4,traffic_signals,,,POINT (121.538133 25.0079817)
25.0051783,121.5388478,3,,,,POINT (121.5388478 25.0051783)
25.0021844,121.5388085,4,traffic_signals,,,POINT (121.5388085 25.0021844)
25.0080799,121.5382769,4,traffic_signals,,,POINT (121.5382769 25.0080799)
25.0072007,121.5387756,3,,,,POINT (121.5387756 25.0072007)
25.0044111,121.538838,4,crossing,,,POINT (121.538838 25.0044111)
24.9996862,121.5399524,4,traffic_signals,,,POINT (121.5399524 24.9996862)
24.9971618,121.5409358,4,traffic_signals,,,POINT (121.5409358 24.9971618)
24.9959397,121.5412048,4,traffic_signals,,,POINT (121.5412048 24.9959397)
25.0944533,121.5218983,4,traffic_signals,,,POINT (121.5218983 25.0944533)
25.1020829,121.5237764,3,,,,POINT (121.5237764 25.1020829)
25.1009645,121.5264869,4,,,,POINT (121.5264869 25.1009645)
25.1039773,121.5249053,4,traffic_signals,,,POINT (121.5249053 25.1039773)
25.1064879,121.524948,4,traffic_signals,,,POINT (121.524948 25.1064879)
25.1103529,121.5255769,4,traffic_signals,,,POINT (121.5255769 25.1103529)
25.1117508,121.5260441,4,traffic_signals,,,POINT (121.5260441 25.1117508)
25.1124128,121.5309709,4,traffic_signals,,,POINT (121.5309709 25.1124128)
25.1083571,121.5302253,4,traffic_signals,,,POINT (121.5302253 25.1083571)
25.1084277,121.5304155,4,traffic_signals,,,POINT (121.5304155 25.1084277)
25.1117966,121.5259523,3,traffic_signals,,,POINT (121.5259523 25.1117966)
25.1103857,121.5254635,3,traffic_signals,,,POINT (121.5254635 25.1103857)
